PairlD,sentence1,sentence2,score
122,Tôi muốn cho các bạn biết về sự to_lớn của những nỗ_lực khoa_học đã góp_phần làm_nên các dòng tít bạn thường thấy trên báo .,Nhiều phát hiện được đăng tải trên mặt báo thực chất là kết quả của quá trình nghiên cứu kéo dài nhiều năm trong phòng thí nghiệm.,1
123,Tôi muốn cho các bạn biết về sự to_lớn của những nỗ_lực khoa_học đã góp_phần làm_nên các dòng tít bạn thường thấy trên báo .,Tôi muốn chia sẻ với các bạn về quy mô và tầm vóc của những nỗ lực nghiên cứu khoa học đã tạo nên các tiêu đề mà bạn thường đọc trên báo chí.**,2
124,Nghiên_cứu được viết bởi 620 nhà_khoa_học từ 40 quốc_gia khác_nhau .,Giải bóng đá trẻ châu Á năm nay có sự tham gia của 16 đội tuyển.,0
125,Nghiên_cứu được viết bởi 620 nhà_khoa_học từ 40 quốc_gia khác_nhau .,Công trình này là kết quả của sự hợp tác quốc tế quy mô lớn giữa nhiều viện nghiên cứu trên thế giới.,1
126,Nghiên_cứu được viết bởi 620 nhà_khoa_học từ 40 quốc_gia khác_nhau .,Bản nghiên cứu do 620 nhà khoa học đến từ 40 quốc gia khác nhau đồng tác giả thực hiện.,2
127,"Mỗi năm , hơn 15,000 nhà_khoa_học đến San_Francisco để tham_dự hội_nghị này .",Chính phủ vừa công bố kế hoạch mở rộng hệ thống đường cao tốc liên tỉnh.,0
128,"Mỗi năm , hơn 15,000 nhà_khoa_học đến San_Francisco để tham_dự hội_nghị này .","Hội nghị này được xem là một trong những sự kiện khoa học lớn nhất, thu hút sự quan tâm của giới nghiên cứu toàn cầu.",1
129,"Mỗi năm , hơn 15,000 nhà_khoa_học đến San_Francisco để tham_dự hội_nghị này .","Hằng năm, trên 15.000 nhà khoa học tập trung về San Francisco để tham gia hội nghị này.",2
130,"Mỗi_một khoa_học gia đều thuộc một nhóm nghiên_cứu , và mỗi nhóm đều nghiên_cứu rất nhiều đề_tài đa_dạng .",Thành phố đang triển khai dự án trồng thêm cây xanh tại các khu dân cư đông đúc.,0
131,"Mỗi_một khoa_học gia đều thuộc một nhóm nghiên_cứu , và mỗi nhóm đều nghiên_cứu rất nhiều đề_tài đa_dạng .",Các nhóm nghiên cứu thường hợp tác với nhau để trao đổi dữ liệu và mở rộng phạm vi khám phá khoa học.,1
132,"Mỗi_một khoa_học gia đều thuộc một nhóm nghiên_cứu , và mỗi nhóm đều nghiên_cứu rất nhiều đề_tài đa_dạng .","Mỗi nhà khoa học đều làm việc trong một nhóm nghiên cứu, và từng nhóm lại theo đuổi nhiều chủ đề khác nhau.",2
133,"Mỗi lĩnh_vực nghiên_cứu lại chia ra những lĩnh_vực nhỏ hơn , và những nghiên_cứu_sinh có bằng tiến_sĩ , như tôi , phải nghiên_cứu những đề_tài vô_cùng cụ_thể , cụ_thể như chỉ vài quy_trình hay vài phân_tử .",Giải vô địch bơi lội quốc gia năm nay diễn ra với sự tham gia của nhiều vận động viên trẻ.,0
134,"Mỗi lĩnh_vực nghiên_cứu lại chia ra những lĩnh_vực nhỏ hơn , và những nghiên_cứu_sinh có bằng tiến_sĩ , như tôi , phải nghiên_cứu những đề_tài vô_cùng cụ_thể , cụ_thể như chỉ vài quy_trình hay vài phân_tử .","Trong môi trường học thuật, các nhà nghiên cứu thường tập trung chuyên sâu vào một mảng hẹp để đạt được kết quả chính xác hơn.",1
135,"Mỗi lĩnh_vực nghiên_cứu lại chia ra những lĩnh_vực nhỏ hơn , và những nghiên_cứu_sinh có bằng tiến_sĩ , như tôi , phải nghiên_cứu những đề_tài vô_cùng cụ_thể , cụ_thể như chỉ vài quy_trình hay vài phân_tử .","Mỗi ngành nghiên cứu được phân tách thành các nhánh nhỏ, và các nghiên cứu sinh tiến sĩ như tôi phải đào sâu vào những chủ đề hết sức chuyên biệt, chẳng hạn chỉ xoay quanh một vài quy trình hoặc một số phân tử nhất định.",2
136,"Chính vì lượng khí_thải rất lớn , nó có ý_nghĩa quan_trọng với hệ_thống khí_quyển .",Lễ hội hoa xuân năm nay thu hút hàng nghìn du khách đến tham quan và chụp ảnh.,0
137,"Chính vì lượng khí_thải rất lớn , nó có ý_nghĩa quan_trọng với hệ_thống khí_quyển .",Sự gia tăng phát thải công nghiệp đang tác động mạnh đến cân bằng sinh thái toàn cầu.,1
138,"Chính vì lượng khí_thải rất lớn , nó có ý_nghĩa quan_trọng với hệ_thống khí_quyển .","Do khối lượng khí thải quá lớn, nó đóng vai trò quan trọng trong hệ thống khí quyển.",2
139,"Chính vì nó có ý_nghĩa quan_trọng với hệ_thống khí_quyển , giá nào chúng_tôi cũng theo_đuổi nghiên_cứu này đến_cùng .",Giải quần vợt mở rộng năm nay thu hút nhiều tay vợt hàng đầu thế giới tham gia.,0
140,"Chính vì nó có ý_nghĩa quan_trọng với hệ_thống khí_quyển , giá nào chúng_tôi cũng theo_đuổi nghiên_cứu này đến_cùng .",Nhóm chúng tôi tin rằng việc hiểu rõ cơ chế vận hành của khí quyển sẽ giúp dự báo tốt hơn những biến đổi khí hậu trong tương lai.,1
141,"Chính vì nó có ý_nghĩa quan_trọng với hệ_thống khí_quyển , giá nào chúng_tôi cũng theo_đuổi nghiên_cứu này đến_cùng .","Vì nó đóng vai trò quan trọng đối với hệ thống khí quyển, chúng tôi quyết tâm theo đuổi nghiên cứu này đến cùng bằng mọi giá.",2
142,Chúng_tôi cho nó nổ và xem_xét từng mảnh nhỏ .,Thành phố vừa khai trương một bảo tàng nghệ thuật đương đại mới ở trung tâm.,0
143,Chúng_tôi cho nó nổ và xem_xét từng mảnh nhỏ .,"Sau khi tiến hành thí nghiệm, chúng tôi phân tích kỹ lưỡng các mẫu vật để hiểu rõ cấu trúc của chúng.",1
144,Chúng_tôi cho nó nổ và xem_xét từng mảnh nhỏ .,Chúng tôi kích nổ nó rồi kiểm tra từng mảnh vỡ một cách chi tiết.,2
145,Đây là Phòng nghiên_cứu khói bụi EUPHORE ở Tây_Ban_Nha .,Giải bóng đá châu Âu năm nay được tổ chức tại Đức với sự tham gia của nhiều đội tuyển mạnh.,0
146,Đây là Phòng nghiên_cứu khói bụi EUPHORE ở Tây_Ban_Nha .,Tây Ban Nha là nơi đặt nhiều cơ sở nghiên cứu về môi trường và khí quyển hàng đầu châu Âu.,1
147,Đây là Phòng nghiên_cứu khói bụi EUPHORE ở Tây_Ban_Nha .,Đây chính là cơ sở nghiên cứu khói bụi EUPHORE đặt tại Tây Ban Nha.,2
148,"Nổ trong không_khí hay cháy hoàn_toàn diễn ra chậm hơn 15,000 lần so với những phản_ứng trong động_cơ xe .",Thành phố vừa công bố kế hoạch phát triển hệ thống xe buýt điện trong năm tới.,0
149,"Nổ trong không_khí hay cháy hoàn_toàn diễn ra chậm hơn 15,000 lần so với những phản_ứng trong động_cơ xe .",Các phản ứng hóa học trong động cơ ô tô diễn ra với tốc độ rất cao do điều kiện nhiệt độ và áp suất đặc biệt.,1
150,"Nổ trong không_khí hay cháy hoàn_toàn diễn ra chậm hơn 15,000 lần so với những phản_ứng trong động_cơ xe .",Quá trình nổ trong không khí hoặc sự cháy hoàn toàn xảy ra với tốc độ chậm hơn khoảng 15.000 lần so với các phản ứng bên trong động cơ xe.,2
151,Chúng_tôi chạy những mô_hình khổng_lồ trên siêu máy_tính ; đây là công_việc của tôi .,Giải bóng chuyền quốc gia năm nay thu hút nhiều đội mạnh từ các tỉnh thành.,0
152,Chúng_tôi chạy những mô_hình khổng_lồ trên siêu máy_tính ; đây là công_việc của tôi .,Nhóm của tôi sử dụng hệ thống máy tính hiệu năng cao để phân tích dữ liệu và mô phỏng các quá trình phức tạp.,1
153,Chúng_tôi chạy những mô_hình khổng_lồ trên siêu máy_tính ; đây là công_việc của tôi .,Công việc của tôi là vận hành các mô hình quy mô lớn trên siêu máy tính.,2
154,Mô_hình của chúng_tôi gồm hàng trăm_ngàn thùng xếp chồng tính_toán với hàng trăm biến_số trong thời_gian cực ngắn .,Lễ hội âm nhạc mùa hè đã thu hút đông đảo khán giả trẻ tham dự.,0
155,Mô_hình của chúng_tôi gồm hàng trăm_ngàn thùng xếp chồng tính_toán với hàng trăm biến_số trong thời_gian cực ngắn .,Các hệ thống mô phỏng này đòi hỏi năng lực xử lý dữ liệu rất cao để giải quyết nhiều tham số đồng thời.,1
156,Mô_hình của chúng_tôi gồm hàng trăm_ngàn thùng xếp chồng tính_toán với hàng trăm biến_số trong thời_gian cực ngắn .,"Mô hình của chúng tôi bao gồm hàng trăm nghìn ô xếp chồng lên nhau, thực hiện tính toán với hàng trăm biến trong khoảng thời gian vô cùng ngắn.",2
157,Chúng_tôi cần làm_hàng tá phép_tính như_thế để hiểu được những gì đang xảy_ra .,Thành phố vừa khai trương một trung tâm thương mại mới ở khu vực phía tây.,0
158,Chúng_tôi cần làm_hàng tá phép_tính như_thế để hiểu được những gì đang xảy_ra .,"Để nắm bắt chính xác cơ chế của hiện tượng này, nhóm nghiên cứu phải xử lý rất nhiều dữ liệu phức tạp.",1
159,Chúng_tôi cần làm_hàng tá phép_tính như_thế để hiểu được những gì đang xảy_ra .,Chúng tôi phải thực hiện hàng chục phép tính tương tự như vậy mới có thể hiểu được điều gì đang diễn ra.,2
160,Chúng_tôi còn bay khắp thế_giới để tìm phân_tử này .,Giải đấu bóng rổ quốc tế năm nay được tổ chức tại Tokyo.,0
161,Chúng_tôi còn bay khắp thế_giới để tìm phân_tử này .,Nhóm của chúng tôi tiến hành thu thập mẫu ở nhiều khu vực khác nhau nhằm phân tích thành phần hóa học.,1
162,Chúng_tôi còn bay khắp thế_giới để tìm phân_tử này .,Chúng tôi thậm chí phải đi khắp nơi trên thế giới để truy tìm phân tử đó.,2
163,Gần đây tôi tham_gia một cuộc khảo_sát thực_địa ở Malaysia .,Thành phố vừa công bố kế hoạch mở rộng hệ thống tàu điện ngầm trong năm tới.,0
164,Gần đây tôi tham_gia một cuộc khảo_sát thực_địa ở Malaysia .,Chuyến công tác của tôi nhằm thu thập dữ liệu trực tiếp từ môi trường tự nhiên để phục vụ phân tích.,1
165,Gần đây tôi tham_gia một cuộc khảo_sát thực_địa ở Malaysia .,"Thời gian gần đây, tôi đã tham gia một đợt khảo sát ngoài thực địa tại Malaysia.",2
166,"Đây chính là cái tháp giữa rừng sâu , nhìn từ trên cao .",Giải vô địch bóng đá châu Âu năm nay được tổ chức tại nhiều quốc gia khác nhau.,0
167,"Đây chính là cái tháp giữa rừng sâu , nhìn từ trên cao .",Tòa tháp này được dựng lên để phục vụ việc quan trắc và thu thập dữ liệu trong khu rừng nhiệt đới.,1
168,"Đây chính là cái tháp giữa rừng sâu , nhìn từ trên cao .","Đây là tòa tháp nằm giữa khu rừng rậm, được quan sát từ góc nhìn trên cao.",2
169,"Chiếc phi_cơ này , mẫu BA146 do FAAM sở_hữu thông_thường có_thể chở từ 120-130 người .",Thành phố vừa khai trương một tuyến xe buýt điện mới nhằm giảm khí thải.,0
170,"Chiếc phi_cơ này , mẫu BA146 do FAAM sở_hữu thông_thường có_thể chở từ 120-130 người .",FAAM sử dụng máy bay cho các nhiệm vụ nghiên cứu khí quyển và thu thập dữ liệu trên không.,1
171,"Chiếc phi_cơ này , mẫu BA146 do FAAM sở_hữu thông_thường có_thể chở từ 120-130 người .",Chiếc máy bay BA146 thuộc sở hữu của FAAM này thường có sức chứa khoảng 120 đến 130 hành khách.,2
172,Chúng_tôi phải bay với độ nghiêng đặc_biệt để thực_hiện các phép đo .,Giải bóng đá học sinh toàn quốc năm nay diễn ra tại Đà Nẵng.,0
173,Chúng_tôi phải bay với độ nghiêng đặc_biệt để thực_hiện các phép đo .,"Trong quá trình khảo sát trên không, nhóm nghiên cứu cần điều chỉnh đường bay để đảm bảo độ chính xác của thiết bị đo.",1
174,Chúng_tôi phải bay với độ nghiêng đặc_biệt để thực_hiện các phép đo .,"Để tiến hành các phép đo, chúng tôi buộc phải điều khiển máy bay nghiêng theo một góc đặc biệt.",2
175,Các nhà_khoa_học phải được thắt chặt hoàn_toàn vào ghế để có_thể thực_hiện đo_đạc trên máy_bay .,Thành phố vừa tổ chức lễ hội pháo hoa thu hút đông đảo người dân tham dự.,0
176,Các nhà_khoa_học phải được thắt chặt hoàn_toàn vào ghế để có_thể thực_hiện đo_đạc trên máy_bay .,Việc thu thập dữ liệu trên không đòi hỏi tuân thủ nghiêm ngặt các quy định an toàn bay.,1
177,Các nhà_khoa_học phải được thắt chặt hoàn_toàn vào ghế để có_thể thực_hiện đo_đạc trên máy_bay .,"Để tiến hành các phép đo trên máy bay, các nhà khoa học phải được cố định chặt vào ghế ngồi.",2
178,"Khi nghiên_cứu_sinh như tôi có sở_thích hay hiểu_biết về phân_tử đó , đại_loại như_thế , họ sẽ viết cả một bài nghiên_cứu khoa_học về đề_tài đó .",Giải đua xe Công thức 1 năm nay được tổ chức tại nhiều quốc gia trên thế giới.,0
179,"Khi nghiên_cứu_sinh như tôi có sở_thích hay hiểu_biết về phân_tử đó , đại_loại như_thế , họ sẽ viết cả một bài nghiên_cứu khoa_học về đề_tài đó .",Các nghiên cứu sinh thường công bố kết quả làm việc của mình trên các tạp chí chuyên ngành sau quá trình phân tích chuyên sâu.,1
180,"Khi nghiên_cứu_sinh như tôi có sở_thích hay hiểu_biết về phân_tử đó , đại_loại như_thế , họ sẽ viết cả một bài nghiên_cứu khoa_học về đề_tài đó .","Khi một nghiên cứu sinh như tôi quan tâm hoặc có hiểu biết về phân tử ấy, họ sẽ soạn thảo và công bố một bài báo khoa học về chính đề tài đó.",2
181,Tổng_giám_đốc Hà_Đức_Bàng bị đề_nghị khai_trừ Đảng,Giá vàng trong nước sáng nay tăng mạnh theo đà biến động của thị trường thế giới.,0
182,Tổng_giám_đốc Hà_Đức_Bàng bị đề_nghị khai_trừ Đảng,Ông Hà Đức Bàng đang bị xem xét trách nhiệm liên quan đến các sai phạm trong quá trình công tác.,1
183,Tổng_giám_đốc Hà_Đức_Bàng bị đề_nghị khai_trừ Đảng,"Có đề xuất khai trừ ông Hà Đức Bàng, Tổng giám đốc, ra khỏi Đảng.",2
184,"Ngoài_ra , ông Bàng còn phải chịu trách_nhiệm trong việc chậm thực_hiện một_số nghị_quyết của Hội_đồng_quản_trị ",Thành phố vừa phê duyệt dự án xây dựng thêm ba cây cầu mới để giảm ùn tắc giao thông.,0
185,"Ngoài_ra , ông Bàng còn phải chịu trách_nhiệm trong việc chậm thực_hiện một_số nghị_quyết của Hội_đồng_quản_trị ",Ông Bàng cũng bị nhắc nhở vì công tác điều hành chưa đạt hiệu quả như kỳ vọng của Hội đồng quản trị.,1
186,"Ngoài_ra , ông Bàng còn phải chịu trách_nhiệm trong việc chậm thực_hiện một_số nghị_quyết của Hội_đồng_quản_trị ","Bên cạnh đó, ông Bàng phải chịu trách nhiệm do đã chậm triển khai một số nghị quyết do Hội đồng quản trị ban hành.**",2
187,"Tổng_công_ty Hàng_hải VN liên_quan đến xử_lý vụ_việc ở Công_ty Xuất_nhập_khẩu vật_tư đường_biển , về tổ_chức cán_bộ ...",Giải bóng đá quốc gia năm nay sẽ khai mạc vào cuối tuần với sự tham gia của 14 đội.,0
188,"Tổng_công_ty Hàng_hải VN liên_quan đến xử_lý vụ_việc ở Công_ty Xuất_nhập_khẩu vật_tư đường_biển , về tổ_chức cán_bộ ...",Vụ việc tại Công ty Xuất nhập khẩu vật tư đường biển đang được các cơ quan chức năng rà soát để làm rõ trách nhiệm quản lý.,1
189,"Tổng_công_ty Hàng_hải VN liên_quan đến xử_lý vụ_việc ở Công_ty Xuất_nhập_khẩu vật_tư đường_biển , về tổ_chức cán_bộ ...",Tổng công ty Hàng hải Việt Nam có liên đới trong việc giải quyết vụ việc liên quan đến công tác tổ chức cán bộ tại Công ty Xuất nhập khẩu vật tư đường biển.,2
190,Thủ_tướng yêu_cầu làm rõ sai_phạm tại Seaprodex,Nhiệt độ tại Hà Nội sáng nay giảm mạnh do ảnh hưởng của không khí lạnh.,0
191,Thủ_tướng yêu_cầu làm rõ sai_phạm tại Seaprodex,Seaprodex đang bị các cơ quan chức năng kiểm tra về những dấu hiệu vi phạm trong hoạt động kinh doanh.,1
192,Thủ_tướng yêu_cầu làm rõ sai_phạm tại Seaprodex,Thủ tướng chỉ đạo phải làm rõ các vi phạm xảy ra tại Seaprodex.,2
193,"Theo công_văn này , Thủ_tướng còn yêu_cầu Thanh_tra Nhà_nước chủ_trì cùng Bộ Thuỷ_sản tìm_hiểu và báo_cáo với Thủ_tướng lý_do tại_sao những sai_phạm này đã bị phát_hiện từ khá lâu nhưng lại không được xem_xét xử_lý .",Bộ Giáo dục và Đào tạo vừa ban hành quy định mới về kỳ thi tốt nghiệp trung học phổ thông năm nay.,0
194,"Theo công_văn này , Thủ_tướng còn yêu_cầu Thanh_tra Nhà_nước chủ_trì cùng Bộ Thuỷ_sản tìm_hiểu và báo_cáo với Thủ_tướng lý_do tại_sao những sai_phạm này đã bị phát_hiện từ khá lâu nhưng lại không được xem_xét xử_lý .",Thanh tra Nhà nước phối hợp với các bộ ngành liên quan để rà soát quá trình phát hiện và xử lý những vi phạm trong lĩnh vực thủy sản.,1
195,"Theo công_văn này , Thủ_tướng còn yêu_cầu Thanh_tra Nhà_nước chủ_trì cùng Bộ Thuỷ_sản tìm_hiểu và báo_cáo với Thủ_tướng lý_do tại_sao những sai_phạm này đã bị phát_hiện từ khá lâu nhưng lại không được xem_xét xử_lý .","Theo văn bản này, Thủ tướng cũng chỉ đạo Thanh tra Nhà nước phối hợp với Bộ Thủy sản làm rõ và báo cáo nguyên nhân vì sao các sai phạm đã được phát hiện từ lâu nhưng vẫn chưa được xử lý.",2
196,"Trong khi đó , Bộ Thuỷ_sản cũng được chỉ_đạo phải kiểm_điểm làm rõ trách_nhiệm của bộ đối_với các quyết_định mua_sắm , đầu_tư không hiệu_quả , gây lãng_phí nghiêm_trọng tại Seaprodex .",Giá xăng dầu trong nước được điều chỉnh tăng nhẹ từ chiều nay.,0
197,"Trong khi đó , Bộ Thuỷ_sản cũng được chỉ_đạo phải kiểm_điểm làm rõ trách_nhiệm của bộ đối_với các quyết_định mua_sắm , đầu_tư không hiệu_quả , gây lãng_phí nghiêm_trọng tại Seaprodex .",Cơ quan chức năng đang xem xét trách nhiệm của các đơn vị liên quan đến hoạt động tài chính tại Seaprodex.,1
198,"Trong khi đó , Bộ Thuỷ_sản cũng được chỉ_đạo phải kiểm_điểm làm rõ trách_nhiệm của bộ đối_với các quyết_định mua_sắm , đầu_tư không hiệu_quả , gây lãng_phí nghiêm_trọng tại Seaprodex .","Bộ Thủy sản đồng thời bị yêu cầu kiểm điểm và làm rõ trách nhiệm của mình về các quyết định mua sắm, đầu tư kém hiệu quả gây thất thoát nghiêm trọng tại Seaprodex.",2
199,Giải_toả đền_bù : làm_sao dân đồng_thuận ?,Đội tuyển quốc gia đang tích cực chuẩn bị cho vòng loại World Cup sắp tới.,0
200,Giải_toả đền_bù : làm_sao dân đồng_thuận ?,Nhiều người dân vẫn băn khoăn về mức hỗ trợ tái định cư khi dự án thu hồi đất được triển khai.,1
201,Giải_toả đền_bù : làm_sao dân đồng_thuận ?,"Giải tỏa, bồi thường thế nào để người dân chấp thuận?**",2
202,"Hàng_loạt vấn_đề nóng_bỏng , nổi_cộm trong quản_lý đô_thị : đền_bù giải_toả , tái định_cư được mổ_xẻ dưới cái nhìn của những nhà_khoa_học_xã_hội .",Thị trường chứng khoán hôm nay ghi nhận mức tăng mạnh ở nhóm cổ phiếu ngân hàng.,0
203,"Hàng_loạt vấn_đề nóng_bỏng , nổi_cộm trong quản_lý đô_thị : đền_bù giải_toả , tái định_cư được mổ_xẻ dưới cái nhìn của những nhà_khoa_học_xã_hội .",Các chuyên gia quy hoạch đang thảo luận về những bất cập trong phát triển hạ tầng đô thị hiện nay.,1
204,"Hàng_loạt vấn_đề nóng_bỏng , nổi_cộm trong quản_lý đô_thị : đền_bù giải_toả , tái định_cư được mổ_xẻ dưới cái nhìn của những nhà_khoa_học_xã_hội .","Nhiều vấn đề bức xúc trong quản lý đô thị như bồi thường giải tỏa và tái định cư đã được các nhà khoa học xã hội phân tích, xem xét dưới góc độ chuyên môn.",2
205,"Ông Nguyễn_Đăng_Sơn - viện phó Viện Nghiên_cứu đô_thị - nói trong thực_tế người_dân không muốn di_dời giải_toả , hoặc là giải_toả ở mức tối_thiểu .",Giá vàng trong nước sáng nay tiếp tục biến động mạnh theo thị trường thế giới.,0
206,"Ông Nguyễn_Đăng_Sơn - viện phó Viện Nghiên_cứu đô_thị - nói trong thực_tế người_dân không muốn di_dời giải_toả , hoặc là giải_toả ở mức tối_thiểu .",Nhiều hộ dân cho rằng việc tái định cư chưa đảm bảo sinh kế nên họ còn e ngại khi phải chuyển đến nơi ở mới.,1
207,"Ông Nguyễn_Đăng_Sơn - viện phó Viện Nghiên_cứu đô_thị - nói trong thực_tế người_dân không muốn di_dời giải_toả , hoặc là giải_toả ở mức tối_thiểu .","Theo ông Nguyễn Đăng Sơn, Phó Viện trưởng Viện Nghiên cứu đô thị, trên thực tế người dân thường không muốn bị di dời giải tỏa, hoặc nếu có thì chỉ chấp nhận ở mức tối thiểu.",2
208,Trường_hợp bắt_buộc phải giải_toả thì nơi ở mới phải có cuộc_sống tốt_đẹp hơn .,Năm nay sản lượng lúa của vùng đồng bằng tăng đáng kể so với năm trước.,0
209,Trường_hợp bắt_buộc phải giải_toả thì nơi ở mới phải có cuộc_sống tốt_đẹp hơn .,Nhiều người dân mong muốn khu tái định cư phải đảm bảo hạ tầng và điều kiện sinh hoạt đầy đủ trước khi họ chấp nhận di dời.,1
210,Trường_hợp bắt_buộc phải giải_toả thì nơi ở mới phải có cuộc_sống tốt_đẹp hơn .,"Nếu buộc phải giải tỏa, chỗ ở mới cần mang lại điều kiện sống tốt hơn cho người dân.",2
211,"Ông Sơn bức_xúc : "" Nhưng thật đáng tiếc trong quá_trình thực_hiện đền_bù giải_toả , những nhà_chức_trách chưa thấu_hiểu vấn_đề tâm_lý này ở người_dân "" .",Bộ Y tế vừa công bố kế hoạch tiêm chủng mở rộng cho trẻ em trong năm tới.,0
212,"Ông Sơn bức_xúc : "" Nhưng thật đáng tiếc trong quá_trình thực_hiện đền_bù giải_toả , những nhà_chức_trách chưa thấu_hiểu vấn_đề tâm_lý này ở người_dân "" .",Một số chuyên gia cho rằng công tác bồi thường và tái định cư còn thiếu sự tham vấn đầy đủ ý kiến của người dân.,1
213,"Ông Sơn bức_xúc : "" Nhưng thật đáng tiếc trong quá_trình thực_hiện đền_bù giải_toả , những nhà_chức_trách chưa thấu_hiểu vấn_đề tâm_lý này ở người_dân "" .","Ông Sơn bày tỏ sự bức xúc khi cho rằng trong quá trình đền bù, giải tỏa, các cơ quan chức năng đã không thấu hiểu tâm lý của người dân.",2
214,Nhưng với nền kinh_tế_thị_trường của chúng_ta hiện_nay thì tâm_lý này vẫn chiếm ưu_thế .,Đội bóng thành phố đã giành chiến thắng trong trận chung kết tối qua.,0
215,Nhưng với nền kinh_tế_thị_trường của chúng_ta hiện_nay thì tâm_lý này vẫn chiếm ưu_thế .,"Trong cơ chế thị trường hiện nay, lợi ích kinh tế thường ảnh hưởng mạnh đến hành vi và quyết định của các bên liên quan.",1
216,Nhưng với nền kinh_tế_thị_trường của chúng_ta hiện_nay thì tâm_lý này vẫn chiếm ưu_thế .,"Tuy nhiên, trong bối cảnh nền kinh tế thị trường hiện nay của chúng ta, tâm lý đó vẫn giữ vai trò chi phối.",2
217,"Theo ông Sơn , trong vấn_đề quản_lý , phát_triển các dịch_vụ đô_thị thì Nhà_nước nên đóng vai_trò là người "" cầm lái "" hơn là người trực_tiếp "" chèo đò "" .",Giá cà phê xuất khẩu của Việt Nam đang tăng do nhu cầu từ thị trường châu Âu.,0
218,"Theo ông Sơn , trong vấn_đề quản_lý , phát_triển các dịch_vụ đô_thị thì Nhà_nước nên đóng vai_trò là người "" cầm lái "" hơn là người trực_tiếp "" chèo đò "" .",Nhiều chuyên gia cho rằng chính quyền cần tập trung vào hoạch định chính sách thay vì trực tiếp tham gia kinh doanh dịch vụ công.,1
219,"Theo ông Sơn , trong vấn_đề quản_lý , phát_triển các dịch_vụ đô_thị thì Nhà_nước nên đóng vai_trò là người "" cầm lái "" hơn là người trực_tiếp "" chèo đò "" .","Ông Sơn cho rằng trong quản lý và phát triển dịch vụ đô thị, Nhà nước nên giữ vai trò định hướng, điều tiết thay vì trực tiếp vận hành, thực hiện.",2
220,"Cái gì Nhà_nước cũng "" ôm "" hết thì hiệu_quả quản_lý rất kém .",Mùa du lịch năm nay thu hút lượng lớn khách quốc tế đến tham quan.,0
221,"Cái gì Nhà_nước cũng "" ôm "" hết thì hiệu_quả quản_lý rất kém .",Việc phân cấp và xã hội hóa một số dịch vụ công có thể giúp bộ máy hoạt động linh hoạt và hiệu quả hơn.,1
222,"Cái gì Nhà_nước cũng "" ôm "" hết thì hiệu_quả quản_lý rất kém .",Nếu Nhà nước làm hết mọi việc thì hiệu quả quản lý sẽ rất thấp.,2
223,"Đó là chưa kể các khoản chi_phí ở chung_cư lại cao : tiền gửi xe , điện , nước , quản_lý ... Đối_với nhóm dân_nghèo tái định_cư , đây là khó_khăn lâu_dài của họ .",Giá cổ phiếu ngành công nghệ tăng mạnh trong phiên giao dịch hôm nay.,0
224,"Đó là chưa kể các khoản chi_phí ở chung_cư lại cao : tiền gửi xe , điện , nước , quản_lý ... Đối_với nhóm dân_nghèo tái định_cư , đây là khó_khăn lâu_dài của họ .",Nhiều hộ dân tái định cư cho biết họ gặp trở ngại trong việc tìm kiếm việc làm ổn định tại nơi ở mới.,1
225,"Đó là chưa kể các khoản chi_phí ở chung_cư lại cao : tiền gửi xe , điện , nước , quản_lý ... Đối_với nhóm dân_nghèo tái định_cư , đây là khó_khăn lâu_dài của họ .","Chưa tính đến việc các chi phí sinh hoạt ở chung cư như gửi xe, điện, nước, phí quản lý đều cao, điều này trở thành gánh nặng lâu dài đối với các hộ nghèo thuộc diện tái định cư.",2
226,"Nếu qui_hoạch phục_vụ công_ích , văn_hoá xã_hội của địa_phương có_thể động_viên sự tự_giác đóng_góp của nhân_dân , chắc nhiều người cũng sẵn_lòng ủng_hộ .",Giải bóng đá trẻ toàn quốc năm nay thu hút đông đảo khán giả đến cổ vũ.,0
227,"Nếu qui_hoạch phục_vụ công_ích , văn_hoá xã_hội của địa_phương có_thể động_viên sự tự_giác đóng_góp của nhân_dân , chắc nhiều người cũng sẵn_lòng ủng_hộ .",Nhiều chuyên gia cho rằng việc công khai minh bạch thông tin dự án sẽ giúp người dân tin tưởng và hợp tác hơn với chính quyền.,1
228,"Nếu qui_hoạch phục_vụ công_ích , văn_hoá xã_hội của địa_phương có_thể động_viên sự tự_giác đóng_góp của nhân_dân , chắc nhiều người cũng sẵn_lòng ủng_hộ .","Khi quy hoạch nhằm phục vụ lợi ích công cộng và đời sống văn hóa – xã hội của địa phương, đồng thời khơi dậy tinh thần tự nguyện đóng góp của người dân, thì chắc chắn sẽ có nhiều người sẵn sàng ủng hộ.**",2
229,"Song , nếu qui_hoạch để xây_dựng các cơ_sở sản_xuất , kinh_tế của các tổ_chức xã_hội và cá_nhân , cần phải có sự sòng_phẳng về giá_cả , tránh tình_trạng lấy của người nghèo cho người giàu - đã xảy ra ở một_số nơi hiện_nay .",Thời tiết miền Trung những ngày tới được dự báo có mưa rào và dông rải rác.,0
